"","Category","Type","Organisation","Organisation_type","Country","City","Source"
"421","Divestment","Full","Schott Fund","Philanthropic Foundation","USA","Cambridge","http://divestinvest.org/philanthropy/signatories/#/signatories"
"422","Divestment","Full","Scott Trust","Philanthropic Foundation","UK","--","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"423","Divestment","Full","ScouseMouse Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"424","Divestment","Full","Serve All Trust","Philanthropic Foundation","UK","--","http://divestinvest.org/wp-content/uploads/2015/06/PRESS-RELEASE-Divest-Invest-June-Announcement.pdf"
"425","Divestment","Full","Shalom Center","Faith-based Organization","USA","Kenosha","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"426","Divestment","Full","Shared Earth Foundation","Philanthropic Foundation","USA","Chestertown","http://divestinvest.org/philanthropy/signatories/#/signatories/shared-earth-foundation"
"427","Divestment","Fossil Free","Sheffield Hallam University","Educational Institution","UK","Sheffield","https://m.facebook.com/story.php?story_fbid=947593801963279&id=100001380045375&_rdr"
"428","Divestment","Full","Shire of Goomalling, Western Australia","Government","Australia","Goomalling","--"
"429","Divestment","Full","Shugar Magic Foundation","Philanthropic Foundation","USA","--","http://divestinvest.org/philanthropy/signatories/#/signatories/shared-earth-foundation"
"430","Divestment","Full","Sierra Club","NGO","USA","Oakland","--"
"431","Divestment","Full","Sierra Club Foundation","Philanthropic Foundation","USA","Oakland","http://divestinvest.org/philanthropy/#/signatories/the-sierra-club-foundation"
"432","Divestment","Full","Singing Field Foundation","Philanthropic Foundation","USA","--","http://divestinvest.org/philanthropy/#/signatories/singing-field-foundation"
"433","Divestment","Full","Sisters of Loretto","Faith-based Organization","USA","Littleton","http://ncronline.org/blogs/eco-catholic/sisters-loretto-divest-fossil-fuels"
"434","Divestment","Full","SOAS, University of London","Educational Institution","UK","London","https://www.soas.ac.uk/news/newsitem101976.html"
"435","Divestment","Full","Society for Community Work, First Unitarian Universalist Society of San Francisco, CA","Faith-based Organization","USA","San Francisco","--"
"436","Divestment","Full","Society of Friends, Canberra Regional Meeting","Faith-based Organization","Australia","Canberra","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"437","Divestment","Full","Sojourners","Faith-based Organization","USA","Washington","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"438","Divestment","Full","Solidago Foundation","Philanthropic Foundation","USA","Northampton","http://divestinvest.org/philanthropy/#/signatories/solidago-foundation"
